,id,lat,lon,bt
0,419364203,40.7486888,-74.0062402,bicycle_parking
1,419364715,40.7496049,-74.0065939,bicycle_parking
2,2366519603,40.7483851,-74.008099,atm
3,3876361757,40.7485056,-74.0087396,cafe
4,3876362257,40.7485097,-74.0084177,toilets
5,6575692602,40.7510927,-74.0087035,bench
6,6575692603,40.7510676,-74.0087021,bench
7,6575692604,40.7511226,-74.0087042,bench
8,6575692606,40.7510489,-74.0087875,bench
9,6724629584,40.750595,-74.0087266,bicycle_parking
10,6733969857,40.7499459,-74.0087125,drinking_water
11,8378739343,40.7510758,-74.0087777,drinking_water
12,8378777757,40.7492923,-74.00745,drinking_water
13,419360704,40.7508319,-74.0036272,bicycle_parking
14,419361819,40.747895,-74.0048469,bicycle_parking
15,419362529,40.7480103,-74.0040385,bicycle_parking
16,419362706,40.7491823,-74.0039087,bicycle_parking
17,419364577,40.7508757,-74.005652,bicycle_parking
18,419364648,40.7481777,-74.0051429,bicycle_parking
19,419366485,40.7511604,-74.0052063,bicycle_parking
20,1740687681,40.7479611,-74.0046513,drinking_water
21,2366519593,40.7476133,-74.0045044,pharmacy
22,2366519595,40.7477595,-74.0037921,bank
23,2366519602,40.7478019,-74.0037753,atm
24,3584658394,40.7502928,-74.0048785,nightclub
25,3708656214,40.7512018,-74.0051943,bicycle_rental
26,4168085045,40.7479898,-74.0044046,pub
27,4423874390,40.7507722,-74.0040792,bar
28,4447010422,40.7506815,-74.0038103,theatre
29,4470023090,40.7480925,-74.0041031,restaurant
30,8378777758,40.7480443,-74.0053089,bicycle_parking
31,8381011033,40.7480199,-74.0046946,bicycle_parking
32,9784341117,40.748081,-74.0041578,restaurant
33,419360689,40.7480927,-74.0013426,bicycle_parking
34,2516845571,40.7495468,-74.0014911,community_centre
35,2517042190,40.7495539,-74.0016225,theatre
36,3708656740,40.7497178,-74.0029503,bicycle_rental
37,4412150567,40.7504599,-74.0024185,restaurant
38,4412154431,40.7511098,-74.0022451,fast_food
39,5122551877,40.7505909,-74.0017414,drinking_water
40,5122551887,40.7498936,-74.001088,drinking_water
41,5122568078,40.750153,-74.0020675,bicycle_rental
42,6171412797,40.7487521,-74.0031663,restaurant
43,6833456285,40.750999,-74.0019954,bar
44,7050439887,40.7500931,-74.0028209,nightclub
45,419364389,40.7505438,-73.9984805,bicycle_parking
46,2703242518,40.7475133,-74.0002514,pharmacy
47,4396410027,40.7498584,-74.000837,toilets
48,4604146990,40.7508672,-73.9982613,atm
49,4850904721,40.7479759,-74.0005778,restaurant
50,5143742939,40.7493833,-73.9990586,bicycle_rental
51,5932590518,40.7504683,-73.9982081,bar
52,6389702965,40.7502652,-73.9983421,bar
53,8378739338,40.7500514,-73.9982911,bicycle_rental
54,8732602447,40.7497755,-73.9997873,bicycle_parking
55,8732602454,40.7495266,-73.9995509,bench
56,8732602455,40.7494019,-73.9996297,bench
57,8732602456,40.7494294,-73.9995089,bench
58,1297657485,40.7511441,-73.9972215,fast_food
59,1297658045,40.751113,-73.9971455,ice_cream
60,2377128170,40.7475198,-73.9971461,fast_food
61,2407444755,40.7505364,-73.995675,university
62,5265708678,40.7479698,-73.9967294,post_box
63,6007303592,40.7486997,-73.9957832,restaurant
64,6638585608,40.7508895,-73.9978633,cafe
65,7674782252,40.7495723,-73.996818,bicycle_parking
66,7674782253,40.7497885,-73.9972882,bicycle_parking
67,7700401455,40.7493415,-73.995763,restaurant
68,7700401457,40.7494967,-73.9956416,restaurant
69,7700401460,40.7492872,-73.9957982,cafe
70,7700401462,40.7493201,-73.9957432,bicycle_parking
71,7700401463,40.7493927,-73.9957184,fast_food
72,8614943039,40.748249,-73.9965119,bicycle_parking
73,8614943045,40.7480595,-73.9963234,vending_machine
74,8614943063,40.7481815,-73.995737,vending_machine
75,8614943066,40.7479801,-73.9966453,bicycle_rental
76,8614943072,40.7475778,-73.9962488,bicycle_parking
77,8614943076,40.748474,-73.9960052,telephone
78,8614943079,40.7479452,-73.9958021,bicycle_parking
79,8614943085,40.747859,-73.9955765,bicycle_parking
80,8614943089,40.7482011,-73.9957797,bicycle_parking
81,8614943096,40.7482066,-73.9962226,bicycle_parking
82,8615466793,40.7488454,-73.9961002,bicycle_parking
83,8615466794,40.7487517,-73.9961676,vending_machine
84,10000660263,40.751033,-73.9958941,bar
85,419362581,40.7498831,-73.9953154,bicycle_parking
86,663102624,40.7499443,-73.9943348,pub
87,663260794,40.750052,-73.994588,restaurant
88,663260806,40.750096,-73.994726,restaurant
89,2377128194,40.74969,-73.99502,pub
90,2377128195,40.749067,-73.995471,restaurant
91,2377128209,40.7496192,-73.9954948,post_box
92,2407445501,40.750135,-73.995213,fast_food
93,2407447000,40.749979,-73.9953383,restaurant
94,2407447001,40.750033,-73.995284,restaurant
95,2407447314,40.7499096,-73.99538,bar
96,2703424235,40.7494986,-73.993225,bar
97,2703424302,40.7476933,-73.9932597,fast_food
98,2703424343,40.7487769,-73.9953514,theatre
99,2818428601,40.7483136,-73.9955539,restaurant
100,3246839596,40.7493007,-73.9941316,bar
101,3708656230,40.750498,-73.9947813,bicycle_rental
102,4278367194,40.7480788,-73.9929491,restaurant
103,4479893189,40.7480195,-73.9930198,fast_food
104,4867750466,40.7481685,-73.9929081,school
105,5087640508,40.7500519,-73.9947718,fast_food
106,5815748397,40.7481269,-73.9932265,restaurant
107,6355195660,40.7480246,-73.9947822,stripclub
108,6867960885,40.750293,-73.9950868,bus_station
109,7653745264,40.7488044,-73.9953557,bicycle_parking
110,7653745268,40.7476165,-73.9933167,pub
111,7653745270,40.7483051,-73.994171,bicycle_parking
112,7653745272,40.7478175,-73.9931701,clinic
113,7653745273,40.748746,-73.9952843,restaurant
114,7653745278,40.7483337,-73.9937884,cafe
115,7653745282,40.7485228,-73.9943166,bicycle_parking
116,7653745283,40.7482605,-73.993645,parking
117,8373415511,40.7489931,-73.9954346,bicycle_parking
118,8373415512,40.7488962,-73.9955479,bicycle_parking
119,8567053363,40.7498341,-73.9955133,telephone
120,8567053367,40.7491203,-73.9955476,telephone
121,8567304863,40.7494648,-73.9933126,bicycle_parking
122,8567304865,40.7495307,-73.9932806,parking_entrance
123,8614943048,40.7475177,-73.9933068,vending_machine
124,8614943049,40.7479634,-73.9952384,vending_machine
125,8614943055,40.7480061,-73.992955,vending_machine
126,8614943056,40.7480892,-73.995537,bicycle_parking
127,8615466791,40.7487905,-73.9953236,vending_machine
128,9419131277,40.750477,-73.9948762,waste_basket
129,9950542396,40.7499168,-73.994249,fast_food
130,2384821688,40.74907,-73.992305,bank
131,2384821719,40.7488997,-73.9919013,bank
132,2384821749,40.7491185,-73.9917001,bank
133,2703449252,40.7483789,-73.9906177,restaurant
134,2703449303,40.7488386,-73.9919696,restaurant
135,2709430271,40.7512478,-73.9907,bank
136,2709702391,40.7503743,-73.9908121,bureau_de_change
137,2800174521,40.7495759,-73.9923316,social_facility
138,3166903961,40.7479533,-73.9926281,fast_food
139,3179745213,40.7504102,-73.9928259,cafe
140,3451116501,40.7510522,-73.9912571,bank
141,3507260980,40.7484876,-73.9922019,restaurant
142,3708656744,40.749034,-73.9917226,bicycle_rental
143,3708656745,40.7502,-73.9909309,bicycle_rental
144,3867968857,40.74878,-73.991579,fast_food
145,4299951695,40.7503277,-73.9907937,fast_food
146,4867303121,40.7502806,-73.9904398,restaurant
147,5419491621,40.7503235,-73.9918003,restaurant
148,5612407421,40.7481126,-73.9911219,bar
149,6178461392,40.7503146,-73.9917756,restaurant
150,6178461393,40.7502973,-73.991726,restaurant
151,6178461394,40.7503212,-73.9917437,bar
152,6178461399,40.7503054,-73.9917525,restaurant
153,6178461400,40.7503324,-73.9918249,restaurant
154,6407823608,40.7485081,-73.9923021,post_box
155,6407823610,40.7486719,-73.9919677,fortune_teller
156,6507019902,40.7505753,-73.9911926,atm
157,6507019903,40.7505485,-73.9905872,bar
158,6507019904,40.7506665,-73.9915474,restaurant
159,7080440667,40.7484534,-73.9927079,restaurant
160,7125928685,40.748323,-73.9904886,restaurant
161,7678239164,40.749456,-73.9919335,taxi
162,8130211162,40.7488426,-73.9916376,parking_entrance
163,8354939617,40.7475911,-73.9924344,bicycle_parking
164,8354939618,40.7476364,-73.9922382,bicycle_parking
165,8355853624,40.7490163,-73.9916297,bicycle_parking
166,8355860496,40.7483096,-73.9904415,restaurant
167,8373415513,40.7493473,-73.9921822,atm
168,8567060226,40.7511771,-73.9906382,post_box
169,8567327074,40.7488206,-73.9916851,bicycle_parking
170,8614943044,40.7491583,-73.9904043,vending_machine
171,8614943062,40.7487049,-73.9928183,vending_machine
172,8614943095,40.7492408,-73.9920749,post_box
173,9235536634,40.7504377,-73.9907795,restaurant
174,9413881822,40.7510646,-73.9909941,vending_machine
175,9413881827,40.7511291,-73.991147,vending_machine
176,419361370,40.7478231,-73.9883464,bicycle_parking
177,419363876,40.7475324,-73.9900391,bicycle_parking
178,2703449216,40.7485643,-73.9891736,fast_food
179,2703449228,40.7483872,-73.990094,university
180,2703449330,40.7482027,-73.9887195,restaurant
181,3451315853,40.7510615,-73.9879376,fast_food
182,3708656229,40.7488974,-73.9885799,bicycle_rental
183,3708656267,40.7509771,-73.9876543,bicycle_rental
184,4146376405,40.7478213,-73.9878356,restaurant
185,4441702689,40.7480793,-73.9892846,cafe
186,4886770821,40.7480089,-73.9892281,post_box
187,5395641129,40.7482961,-73.9884959,restaurant
188,5815748399,40.7499483,-73.9898031,bar
189,6125536239,40.7479047,-73.9889195,fast_food
190,6201497559,40.7484764,-73.9890009,bank
191,6230904363,40.7483642,-73.9879796,bank
192,6230904370,40.74867,-73.9879214,pharmacy
193,6234720405,40.7476205,-73.9882121,telephone
194,6308814786,40.750186,-73.9880815,fast_food
195,6407817393,40.7486317,-73.9893492,fast_food
196,6407817394,40.7488771,-73.9898091,parking_entrance
197,6407817395,40.748599,-73.989262,coworking_space
